theta,phi,time,Sg (MW/m^2),PAR (mol PAR/m^2/s),PARdf (mol PAR/m^2/s),PARdr (mol PAR/m^2/s)
43.48289383713117,267.3750722056555,2024-06-18 15:30:00+00:00,0.0006795275657723998,0.001565731718369585,0.0005041656133150064,0.0010615661050545787
41.51422169614588,268.97180391490747,2024-06-18 15:40:00+00:00,0.0006493119160845648,0.001496110405724804,0.0004817475506433869,0.001014362855081417
39.54457065884525,270.5184882259267,2024-06-18 15:50:00+00:00,0.0006185637322023282,0.0014252620557657335,0.0004589343819565662,0.0009663276738091672
37.57538625654776,272.0228531856159,2024-06-18 16:00:00+00:00,0.0005873789334677375,0.0013534076808012386,0.0004357972732179988,0.0009176104075832396
35.607999429274464,273.49168005731553,2024-06-18 16:10:00+00:00,0.0005558528260750218,0.0012807668803571932,0.0004124069354750162,0.0008683599448821769
33.643651912441065,274.93096605434744,2024-06-18 16:20:00+00:00,0.0005240796399098112,0.0012075567739857403,0.0003888332812234084,0.0008187234927623318
31.68351770955627,276.3460569622917,2024-06-18 16:30:00+00:00,0.000492152090812728,0.0011339909926560555,0.0003651450996352499,0.0007688458930208056
29.728720889391848,277.7417562200926,2024-06-18 16:40:00+00:00,0.0004601609588119344,0.001060278706939941,0.00034140974363466105,0.00071886896330528
27.780350623043244,279.12241503183236,2024-06-18 16:50:00+00:00,0.00042819468694997424,0.0009866237026497104,0.00031769283225320673,0.0006689308703965035
25.839474077126415,280.49200718313665,2024-06-18 17:00:00+00:00,0.0003963390033242742,0.0009132235099637655,0.0002940579702083325,0.0006191655397554329
23.907147630960395,281.85419146805594,2024-06-18 17:10:00+00:00,0.00036467656856708336,0.000840268591168395,0.00027056648635622317,0.0005697021048121717
21.984426918479187,283.21236392708045,2024-06-18 17:20:00+00:00,0.00033328665300262086,0.0007679415967802325,0.00024727719416323487,0.0005206644026169976
20.07237521373938,284.56970225710825,2024-06-18 17:30:00+00:00,0.00030224483278492204,0.0006964166654030463,0.00022424616625978092,0.00047217049914326535
18.17207232192117,285.92920246568787,2024-06-18 17:40:00+00:00,0.0002716227382056085,0.0006258588437917247,0.00020152654770093535,0.00042433229609078934
16.284621579193217,287.2937107269993,2024-06-18 17:50:00+00:00,0.00024148781347667944,0.0005564235333564043,0.00017916837774076218,0.00037725515561564207
14.411157040812212,288.6659499707728,2024-06-18 18:00:00+00:00,0.00021190312079107044,0.00048825603868910244,0.000157218444457891,0.00033103759423121145
12.552850195372919,290.04854245351873,2024-06-18 18:10:00+00:00,0.00018292717689665327,0.00042149119100611356,0.00013572016350396857,0.00028577102750214497
10.710916421093497,291.44402876522923,2024-06-18 18:20:00+00:00,0.0001546138249355878,0.00035625305284697653,0.00011471348301672644,0.00024153956983025008
8.88662124894268,292.8548836841348,2024-06-18 18:30:00+00:00,0.00012701214192376942,0.00029265470489347795,9.42348149756999e-05,0.00019841988991777803
7.08128647663705,294.28352918223453,2024-06-18 18:40:00+00:00,0.00010016638196102779,0.00023079811511757557,7.431699306785933e-05,0.0001564811220497162
5.29629628074024,295.7323446897928,2024-06-18 18:50:00+00:00,7.411595675368168e-05,0.00017077409390249236,5.4989258236602544e-05,0.00011578483566588981
3.53310261404229,297.2036753345467,2024-06-18 19:00:00+00:00,4.889544255882091e-05,0.00011266231004336616,3.6277263833963904e-05,7.638504620940225e-05
